Authority Terms,Mention only?,Researcher/Date,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,AssociatedPlaces,Birth Place,Death Place,Place of Residence,Source for Places,Birth Date,Death Date,Marriage Date,Source for Dates,Spouse,Occupation,Occupation Source,Gender,Languages,Religions,Religions Source,Organizations,Organizations Source,Associated Letters,PRINT ID,LOD - WikiData,LOD - VIAF,LOD - LOC,Notes,HSP,LSF,SAA,SBB,AFSt,Barclay,Spence,Abraham,Incomplete?,
"Ashburn, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000006,,,,,1.0,,,,,,,,,
"Ashton, Isaac",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000178,,,,,1.0,,,,,,,,,
"Ashton, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16164,P000179,,,,,1.0,,,,,,,,,
"Askew, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000007,,,,,1.0,,,,,,,,,
"Askew, Mary",False,BNC/11/13/2024,,,,,,,,,,,,,,,,servant {{Bonnelyn Young Kunze. 1993. Margaret Fell and the Rise of Quakerism. Palgrave Macmillan.}},,Female,English,,,,,,,n.a.,n.a,n.a,"often referred to as Aunt Mary by the Fell children, suggesting closeness (BNC 04/18/2025)",,1.0,,,,,1.0,,,
"Atherton, Eleanor",False,,,,Elinor; Elenor,,,,,,,,,,,,,,,Female,English,,,,,,P000180,,,,,1.0,,,,,,,,,
"Atherton, George",False,,,,,,,"Dublin, Ireland",,,,,,,,,,,,Male,English,,,,,,P000181,,,,,1.0,,,,,,,,,
"Atherton, Godfrey",False,CLW 1/15/25,,,,,,,"Bickerstaffe, Lancashire, England","Bickerstaffe, Lancashire, England
[[Death record in Research folder]]","Bickerstaffe, Lancashire, England [[Marriage Record, 1694 in Research folder]]",,,1709-04-20,"1667-09-06 [[Marriage to Mary Sharrock Record, 1667 in Research folder]];
1694-08-20 [[Marriage to Rebecca Penketh Record, 1694 in Research folder]]",,,"farmer [[marriage records refer to him as a ""yeoman""]]",,Male,English,,,,,16164,P000008,,,,"Had a son, Thomas Jr., with wife Rebeckah 1697-02-07

“England Births and Christenings, 1538-1975,” database, Family Search, entry for Godfrey Atherton on 20 Jan 1619, accessed May 24, 2021, https://www.familysearch.org/ark:/61903/1:1:N5LQ-187 ;

“England Deaths and Burials, 1538-1991,” database, Family Search, entry for Godfrey Atherton on 22 Apr 1709, original from the London Public Record Office, The Records of Marriages, Births and Burialls of freinds in the monthly Meeting of Hartshaw in Lancashire, folio 336, accessed May 24, 2021, https://www.familysearch.org/ark:/61903/1:1:JDCC-V22.",1.0,,,,,,,,,
"Atherton, Nathaniel",False,CLW 1/15/25,,,,,,,,"Bickerstaffe, Lancashire, England {{http://www.holytrinitybickerstaffe.co.uk/wp-content/uploads/2016/03/Bickerstaffe-New-Text-Quakers-1-PDF.pdf}}","Bickerstaffe, Lancashire, England {{http://www.holytrinitybickerstaffe.co.uk/wp-content/uploads/2016/03/Bickerstaffe-New-Text-Quakers-1-PDF.pdf}}",,1657,1688 {{http://www.holytrinitybickerstaffe.co.uk/wp-content/uploads/2016/03/Bickerstaffe-New-Text-Quakers-1-PDF.pdf}},,,,,,Male,English,,,,,,P000009,,,,"“England Deaths and Burials, 1538-1991,” database, Family Search, entry for Nathaniel Atherton on 5 Feb 1688, original from the London Public Record Office, The Records of Marriages, Births and Burialls of freinds in the monthly Meeting of Hartshaw in Lancashire, folio 325, accessed May 24, 2021, https://www.familysearch.org/ark:/61903/1:1:JDCC-JZB.

Purchased Pemberton grocery store before their departure to PA",1.0,,,,,,,,,
"Atkinson, James",False,CLW 1/15/25,Adkinson,,,,,,,"Philadelphia, Pennsylvania","Newton Township, Gloucester, New Jersey {{https://www.seekingmyroots.com/members/files/G092.pdf}} [[The Atkinsons of New Jersey from the Records of Friends Meetings]]","The Atkinsons of New Jersey from the Records of Friends Meetings (Earlington, 1890)",,1711 {{https://www.seekingmyroots.com/members/files/G092.pdf}} [[The Atkinsons of New Jersey from the Records of Friends Meetings]],1684 {{https://www.seekingmyroots.com/members/files/G092.pdf}} [[The Atkinsons of New Jersey from the Records of Friends Meetings]],"The Atkinsons of New Jersey from the Records of Friends Meetings (Earlington, 1890)",,,,Male,English,quaker,,Newton Meeting {{https://www.seekingmyroots.com/members/files/G092.pdf}} [[The Atkinsons of New Jersey from the Records of Friends Meetings]],,,P000183,,,,,1.0,,,,,,,,,
"Auderton, Ellen",False,,,,Ellin,,,,,,,,,,,,,,,Female,English,,,,,,P000184,,,,,1.0,,,,,,,,,
"Aylva, Cornelis Tjaards van ",False,BREN,Aijlva,Tjaerd; Tjaert,Cornelis,,Baron,,"[Friesland, Netherlands]","Hartwerd, Netherlands","Hartwerd, Netherlands",AlleFriezen,1684,1745-11-23,"1711-04-12
{{https://allefriezen.nl/zoeken/deeds/d762c1fe-fdad-45c3-acf8-02c26b1cd255}}",Biogragisch portaal van nederland,,Grietman; Co-Delegate of the States of Friesland,AlleFriezen,Male,Dutch,Reformed,AlleFriezen,,,,P000848,,,,"I have reason to believe that the 'van Aylva' here is in reference to Cornelis van Aylva. No van Aylva with a first name that starts with G appears. It could be very well that the first name initial had been misinterpreted. It may also refer to the position of Grietman, which was held by numerous van Aylvas in Friesland, including himself. He is the only van Aylva with life dates that would best correspond to the letter we have. ",,,1.0,,,,,,,
"Bachert, Georg Ernst",False,AMF 4/16/2025,,,,,,"Leipzig, Saxony, Germany; Clingen, Thuringia, Germany {{https://archiv.francke-halle.de/hzeig.FAU?sid=BC17DEDE12&dm=1&dokref=1&indx=%23F211%23&auft=Bachert%2C+Georg+Ernst}}",,,,,before 1684-00-00 {{https://archiv.francke-halle.de/hzeig.FAU?sid=BC17DEDE12&dm=1&dokref=1&indx=%23F211%23&auft=Bachert%2C+Georg+Ernst}},after 1702-02-20 {{https://archiv.francke-halle.de/hzeig.FAU?sid=BC17DEDE12&dm=1&dokref=1&indx=%23F211%23&auft=Bachert%2C+Georg+Ernst}},,,,Pastor {{https://archiv.francke-halle.de/hzeig.FAU?sid=BC17DEDE12&dm=1&dokref=1&indx=%23F211%23&auft=Bachert%2C+Georg+Ernst}},,Male,,,,,,,,,,,,,,,,1.0,,,,,
"Baker, Rachel",False,,Backer; Bakker; Bunting,,,Baker,,"Philadelphia, Pennsylvania, America; Yorkshire, England; Bucks County, Pennsylvania","Hindley, West Derby, Lancashire",,"Philadelphia, Pennsylvania",,1669,1731,,,,,,Female,English,,,,,,P000011,,,,Birth Record;,1.0,,,,,,,,,
"Baker, Rebecca",False,,Backer; Bakker,,,,,,,,,,,,,,,,,Female,English,,,,,,P000187,,,,,1.0,,,,,,,,,
"Bakker, Johannes De",False,BREN,Baker; Backer; Bakke,,Johan; John; Jan,,Doctor,,"Burtscheid, Germany
[[GAMEO]]
{{https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)}}","Amsterdam, Netherlands
[[GAMEO]]
{{https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)}}","Amsterdam, Netherlands
[[GAMEO]]
{{https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)}}",GAMEO,"1645|circa
[[GAMEO]]
{{https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)}}","1720-04-15
{{https://archief.amsterdam/indexen/deeds/8df6d971-6b04-47d4-9871-2a76d7f89bd1}}",,GAMEO,,"Preacher; Doctor[[GAMEO]]
{{https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)}}",GAMEO,Male,German; Dutch,Mennonite,SAA,Congregation of the Lam; Congregation of the Toren,,,P000850,,,,,,,1.0,,,,,,,
"Banks, Anthony",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000016,,,,,1.0,,,,,,,,,
"Banner, Lawrence",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000189,,,,,1.0,,,,,,,,,
"Barber, Henry",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15834,P000190,,,,,1.0,,,,,,,,,
"Barnsley, John",False,,Barnsle,,,,,,,,,,,,,,,,,Male,English,,,,,15747,P000804,,,,,1.0,,,,,,,,,
"Barrow, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000191,,,,,1.0,,,,,,,,,
"Barwick, Robert",False,LKM 3/31/25,,,,,,"Kelk, Yorkshire, England {{https://archive.org/details/bim_eighteenth-century_a-collection-of-the-suff_besse-joseph_1753_2/page/100/mode/2up}} [[A Collection of Sufferings Vol. 2-Besse p. 100]]",,,,,,1661-00-00 {{https://archive.org/details/bim_eighteenth-century_a-collection-of-the-suff_besse-joseph_1753_2/page/100/mode/2up}} [[A Collection of Sufferings Vol. 2-Besse p. 100]],,,,,,Male,English,Quaker,,,,,P000193,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Bassnet, Elizabeth",False,,basnet,,Eliz:,,,,,,,,,,,,,,,Female,English,,,,,16169,P001118,,,,,1.0,,,,,,,,,
"Bassnet, Richard",False,,basnet,,,,,,,,,,,,,,,,,Male,English,,,,,,P000195,,,,,1.0,,,,,,,,,
"Bastiaensz, Paulus",False,BREN | 11/20/24,Bastian; Bastiaen; Bastiaansz,,Paulis; Paul,,,,,,"Beverwijk, Netherlands",GAMEO,[≤1635],,,[Waterlands Archief],,,,Male,Dutch,Mennonite,SAA,Beverwijk Congregation,,,P000851,,,,"The provided birth date is a source for a Paulus Bastiaansz, born in Beets. He is Reformed here, but he may have converted later in life. By 1673, he is registered in Amsterdam as a Mennonite. ",,,1.0,,,,,,,
"Battersby, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15883,P000196,,,,,1.0,,,,,,,,,
"Battersby, Mary",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000197,,,,,1.0,,,,,,,,,
"Bauer, Hans",False,,Bower; Baur; Boer,,Hannes; Hanß,,,,,,,,,,,,,,,Male,German,,,,,,P000852,,,,,,,1.0,,,,,,,
"Baur, Ulli",False,,Bower; Bauer; Boer,,Ulrich; Ulrike; Ulrig,,,,,,,,,,,,,,,Male,German,,,,,,P000853,,,,,,,1.0,,,,,,,
"Baylor, Thomas",False,,,,,,,"Warrington, Lancashire, England",,,,,,,,,,,,Male,English,,,,,,P000017,,,,,1.0,,,,,,,,,
"Bayly, Henry",False,,Bayley; Baily; Bailey,,,,,,England,"Peterborough, Northamptonshire, England",,,,1686,1667-11-11,,,,,Male,English,,,,,16150; 15877; 15837,P000012,,,,,1.0,,,,,,,,,
"Bayly, Lydia",False,,Bayley; Baily; Bailey,,Lidea,,,,,,,,,,,,,,,Female,English,,,,,,P000199,,,,,1.0,,,,,,,,,
"Beaumont, Simon Van",False,BREN | 11/20/24,Beaumond,,Sijmon; Symon,,,,"The Hague, Netherlands
[[NNBW]]
{{https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane}}","The Hague, Netherlands
[[NNBW]]
{{https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane}}","The Hague, Netherlands
[[NNBW]]
{{https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane}}",New Dutch Biographical Dictionary,"1641-12
[[NNBW]]
{{https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane}}","1726-02-08
[[NNBW]]
{{https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane}}","1667-02-10
[[NNBW]]
{{https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane}}",New Dutch Biographical Dictionary,,Secretary,New Dutch Biographical Dictionary,Male,Dutch,,,States General,,,P000854,,,,,,,1.0,,,,,,,
"Bechttel, Johan Jurg",False,,Bekdel; Bächtel; Bechtold; Vechtel; Pritel; Bachtel; Bachteil; Bachstel; Bechtold; Böchtel; Baechtold,,Johannes; John; Jan; Jürg,,,,,,,,,,,,,,,Male,German,,,Palatinate Ministers,,,P000855,,,,,,,1.0,,,,,,,
"Beek, Dirk Van",False,BREN,Beak; Bek; Biek; Beke; Beeck,,Dirck,,,,,,"Schiedam, Netherlands; Rotterdam, Netherlands",GAMEO,,,1737-08-04,SAR,,Teacher; Preacher,Gameo and SAR,Male,Dutch,,,Rotterdam Congregation,,,P000856,,,,,,,1.0,,,,,,,
"Beek, Lenaert Van",False,BREN | 11/17/24; 11/20/24,Beak; Bek; Biek; Beke; Beeck,,Leonard; Lenaers; Lenirt; Lennert; Leendert,,,,,,"Amsterdam, Netherlands",,,,,,,,,Male,Dutch,,,Congregation of the Lam,,,P000857,,,,,,,1.0,,,,,,,
"Beets, Cornelis",False,BREN,Bete; Beat,,Cornelius,,,,,,"Amsterdam, Netherlands",,,,,,,Deacon,,Male,Dutch,Mennonite,,Committee for Foreign Needs,,,P000858,,,,,,,1.0,,,,,,,
"Beets, Jan",False,BREN | 11/17/24; 11/20/24,Bete; Beat,,Johannes; Johan; John,,,,,,"[Hoorn, Netherlands]; [Hamburg, Germany]",,,,,,,,,Male,,,,,,,P000859,,,,,,,1.0,,,,,,,
"Bennett, Philip",False,BNC 11/14/2024,,,,,Priest,,,,,,,,,,,Priest,,Male,English,,,,,,P001128,n.a.,n.a.,n.a.,,,1.0,,,,,1.0,,,
"Bennett, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000204,,,,,1.0,,,,,,,,,
"Benson, Francis",False,BNC 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,n.a.,n.a.,,,1.0,,,,,1.0,,,
"Benson, William",False,BNC 04/18/2025,,,,,esquire,,"Ulverston, Cumbria, England {{https://search.findmypast.com/record?id=TNA%2FRG6%2F0875%2F0%2F0028&parentid=TNA%2FRG6%2FBAP%2F1568165}}","Manchester, England {{https://www.findmypast.com/transcript?id=IRE%2FQUAKER%2FPERIODICALS%2FDEATHS%2F008083&tab=this}}",,,c. 1814 {{https://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2055-1/dissemination/pdf/Article_Level_Pdf/tcwaas/002/1910/vol10/tcwaas_002_1910_vol10_0020.pdf}},c. 1849 {{https://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2055-1/dissemination/pdf/Article_Level_Pdf/tcwaas/002/1910/vol10/tcwaas_002_1910_vol10_0020.pdf}},1847-02-25 {{http://www.pennyghael.org.uk/Binns.pdf}},,Caroline Arch,solicitor; editor of the British Friend {{https://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2055-1/dissemination/pdf/Article_Level_Pdf/tcwaas/002/1910/vol10/tcwaas_002_1910_vol10_0020.pdf}},,Male,English,,,,,,,n.a.,n.a.,n.a.,,,,,,,,,1.0,,
"Berndes, Balthasar",False,AMF 1/15/2025 LAB 4/28/2025,,,,,,"Amsterdam, Netherlands",,"Amsterdam, Netherlands [[https://www.openarchieven.nl/saa:72a45bbe-ff9a-4c4b-9322-1032c7072868/en]]",,,,25-03-1728 [[https://www.openarchieven.nl/saa:72a45bbe-ff9a-4c4b-9322-1032c7072868/en]],,,,,,Male,Dutch,,,,,,,,,,,,,,,1.0,,,,,
"Bestevader, Jacob",False,,Bestevaar; Bester; Besterd; Bestvater,,Jakob; Jacop; Jakop,,,,,,,,,,,,,,,Male,,,,,,,P000860,,,,A 'Dirk Bestevader' in Amsterdam 1770 features with a 'van Hoek' – our letter with Jacob Bestevader has him signing alongside a van Hoek in 1726. Might be a relative.,,,1.0,,,,,,,
"Beuns, Frans",False,,Bruns; Brown,,Franz; Franß,,,,,,,,,,,,,Minister,GAMEO,Male,,,,Zwolle Congregation; Flemish Mennonite Congregation of Amsterdam,,,P000861,,,,,,,1.0,,,,,,,
"Biberach, Magistrate Of",False,,,,,,Magistrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Bickley, William",False,,Bickly,,,,,,,,,,,,,,,,,Male,English,,,,,,P000205,,,,,1.0,,,,,,,,,
"Biddle, Sarah",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000207,,,,,1.0,,,,,,,,,
"Biddle, William",False,CLW 12/11/24,,,Wm,,,,,,,,,,,,,,,Male,English,,,,,16072,P001141,,,,Involved with contention between Patrick Robinson and Phineas,1.0,,,,,,,,,
"Biles, Charles",False,,,,,,,,,,"Burlington, New Jersey",https://www.jstor.org/stable/20086011,,,,,,,,Male,English,,,,,,P000208,,,,,1.0,,,,,,,,,
"Biles, George",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000209,,,,,1.0,,,,,,,,,
